,Date,Users
0,2020-01-01,13
1,2020-01-02,17
2,2020-01-03,13
3,2020-01-04,4
4,2020-01-05,10
5,2020-01-06,29
6,2020-01-07,43
7,2020-01-08,27
8,2020-01-09,26
9,2020-01-10,20
10,2020-01-11,7
11,2020-01-12,7
12,2020-01-13,27
13,2020-01-14,33
14,2020-01-15,16
15,2020-01-16,14
16,2020-01-17,14
17,2020-01-18,18
18,2020-01-19,25
19,2020-01-20,16
20,2020-01-21,24
21,2020-01-22,17
22,2020-01-23,39
23,2020-01-24,43
24,2020-01-25,35
25,2020-01-26,37
26,2020-01-27,189
27,2020-01-28,197
28,2020-01-29,142
29,2020-01-30,79
30,2020-01-31,60
31,2020-02-01,46
32,2020-02-02,47
33,2020-02-03,60
34,2020-02-04,52
35,2020-02-05,38
36,2020-02-06,32
37,2020-02-07,40
38,2020-02-08,21
39,2020-02-09,30
40,2020-02-10,33
41,2020-02-11,13
42,2020-02-12,71
43,2020-02-13,59
44,2020-02-14,38
45,2020-02-15,45
46,2020-02-16,59
47,2020-02-17,46
48,2020-02-18,60
49,2020-02-19,77
50,2020-02-20,59
51,2020-02-21,51
52,2020-02-22,45
53,2020-02-23,30
54,2020-02-24,28
55,2020-02-25,80
56,2020-02-26,50
57,2020-02-27,53
58,2020-02-28,74
59,2020-02-29,46
60,2020-03-01,27
61,2020-03-02,62
62,2020-03-03,65
63,2020-03-04,75
64,2020-03-05,56
65,2020-03-06,52
66,2020-03-07,58
67,2020-03-08,41
68,2020-03-09,119
69,2020-03-10,78
70,2020-03-11,99
71,2020-03-12,62
72,2020-03-13,28
73,2020-03-14,10
74,2020-03-15,10
75,2020-03-16,10
76,2020-03-17,14
77,2020-03-18,13
78,2020-03-19,9
79,2020-03-20,27
80,2020-03-21,19
81,2020-03-22,7
82,2020-03-23,14
83,2020-03-24,8
84,2020-03-25,13
85,2020-03-26,10
86,2020-03-27,14
87,2020-03-28,7
88,2020-03-29,13
89,2020-03-30,5
90,2020-03-31,6
91,2020-04-01,10
92,2020-04-02,16
93,2020-04-03,13
94,2020-04-04,9
95,2020-04-05,16
96,2020-04-06,3
97,2020-04-07,6
98,2020-04-08,9
99,2020-04-09,0
100,2020-04-10,10
101,2020-04-11,14
102,2020-04-12,5
103,2020-04-13,6
104,2020-04-14,6
105,2020-04-15,10
106,2020-04-16,2
107,2020-04-17,12
108,2020-04-18,3
109,2020-04-19,6
110,2020-04-20,16
111,2020-04-21,10
112,2020-04-22,12
113,2020-04-23,2
114,2020-04-24,11
115,2020-04-25,2
116,2020-04-26,2
117,2020-04-27,12
118,2020-04-28,8
119,2020-04-29,23
120,2020-04-30,6
121,2020-05-01,9
122,2020-05-02,8
123,2020-05-03,11
124,2020-05-04,19
125,2020-05-05,4
126,2020-05-06,13
127,2020-05-07,26
128,2020-05-08,17
129,2020-05-09,11
130,2020-05-10,10
131,2020-05-11,18
132,2020-05-12,9
133,2020-05-13,12
134,2020-05-14,10
135,2020-05-15,10
136,2020-05-16,22
137,2020-05-17,9
138,2020-05-18,13
139,2020-05-19,10
140,2020-05-20,21
141,2020-05-21,12
142,2020-05-22,2
143,2020-05-23,13
144,2020-05-24,11
145,2020-05-25,16
146,2020-05-26,9
147,2020-05-27,8
148,2020-05-28,20
149,2020-05-29,22
150,2020-05-30,6
151,2020-05-31,21
152,2020-06-01,28
153,2020-06-02,14
154,2020-06-03,8
155,2020-06-04,4
156,2020-06-05,20
157,2020-06-06,7
158,2020-06-07,20
159,2020-06-08,12
160,2020-06-09,6
161,2020-06-10,12
162,2020-06-11,13
163,2020-06-12,11
164,2020-06-13,15
165,2020-06-14,15
166,2020-06-15,8
167,2020-06-16,32
168,2020-06-17,25
169,2020-06-18,53
170,2020-06-19,18
171,2020-06-20,20
172,2020-06-21,18
173,2020-06-22,34
174,2020-06-23,43
175,2020-06-24,45
176,2020-06-25,18
177,2020-06-26,62
178,2020-06-27,31
179,2020-06-28,32
180,2020-06-29,47
181,2020-06-30,54
182,2020-07-01,45
183,2020-07-02,36
184,2020-07-03,38
185,2020-07-04,24
186,2020-07-05,36
187,2020-07-06,36
188,2020-07-07,45
189,2020-07-08,92
190,2020-07-09,34
191,2020-07-10,66
192,2020-07-11,76
193,2020-07-12,60
194,2020-07-13,131
195,2020-07-14,47
196,2020-07-15,53
197,2020-07-16,42
198,2020-07-17,43
199,2020-07-18,45
200,2020-07-19,22
201,2020-07-20,46
202,2020-07-21,101
203,2020-07-22,70
204,2020-07-23,60
205,2020-07-24,45
206,2020-07-25,28
207,2020-07-26,61
208,2020-07-27,82
209,2020-07-28,77
210,2020-07-29,73
211,2020-07-30,47
212,2020-07-31,57
213,2020-08-01,38
214,2020-08-02,44
215,2020-08-03,88
216,2020-08-04,24
217,2020-08-05,30
218,2020-08-06,60
219,2020-08-07,42
220,2020-08-08,61
221,2020-08-09,40
222,2020-08-10,53
223,2020-08-11,50
224,2020-08-12,41
225,2020-08-13,68
226,2020-08-14,43
227,2020-08-15,24
228,2020-08-16,31
229,2020-08-17,42
230,2020-08-18,36
231,2020-08-19,36
232,2020-08-20,46
233,2020-08-21,40
234,2020-08-22,33
235,2020-08-23,28
236,2020-08-24,35
237,2020-08-25,48
238,2020-08-26,57
239,2020-08-27,69
240,2020-08-28,54
241,2020-08-29,43
242,2020-08-30,40
243,2020-08-31,66
244,2020-09-01,58
245,2020-09-02,48
246,2020-09-03,52
247,2020-09-04,26
248,2020-09-05,39
249,2020-09-06,45
250,2020-09-07,100
251,2020-09-08,89
252,2020-09-09,95
253,2020-09-10,87
254,2020-09-11,55
255,2020-09-12,32
256,2020-09-13,87
257,2020-09-14,86
258,2020-09-15,112
259,2020-09-16,174
260,2020-09-17,43
261,2020-09-18,60
262,2020-09-19,32
263,2020-09-20,13
264,2020-09-21,45
265,2020-09-22,28
266,2020-09-23,39
267,2020-09-24,54
268,2020-09-25,38
269,2020-09-26,20
270,2020-09-27,6
271,2020-09-28,48
272,2020-09-29,58
273,2020-09-30,62
274,2020-10-01,32
275,2020-10-02,15
276,2020-10-03,10
277,2020-10-04,33
278,2020-10-05,21
279,2020-10-06,48
